question,reference_answer,reference_context,conversation_history,metadata,agent_answer,correctness,correctness_reason
Can the Giskard SDK be used in CI pipelines?,"Yes, the Giskard SDK can be used locally or in CI pipelines.",Document 7: The Giskard SDK can be used locally or in CI pipelines.,[],"{'question_type': 'simple', 'seed_document_id': 7, 'topic': 'Others'}",The provided context does not mention whether the Giskard SDK can be used in CI pipelines.,False,"The agent stated that the context does not mention whether the Giskard SDK can be used in CI pipelines, but the reference answer clearly states that it can be used in CI pipelines."
What types of models does Giskard support?,Giskard supports both traditional ML models and LLM-based applications.,Document 8: Giskard supports both traditional ML models and LLM-based applications.,[],"{'question_type': 'simple', 'seed_document_id': 8, 'topic': 'Others'}",Giskard supports testing and evaluating LLMs (Large Language Models).,False,"The agent stated that Giskard supports testing and evaluating LLMs, but should have included that it also supports traditional ML models."
What does the Giskard Hub provide?,The Giskard Hub provides a UI to explore tests and evaluation results.,Document 9: The Giskard Hub provides a UI to explore tests and evaluation results.,[],"{'question_type': 'simple', 'seed_document_id': 9, 'topic': 'Others'}",The Giskard Hub provides a comprehensive suite of tools for testing and evaluating LLMs.,False,"The agent stated that the Giskard Hub provides a comprehensive suite of tools for testing and evaluating LLMs, but should have said that it provides a UI to explore tests and evaluation results."
What is RAGET?,RAGET is Giskard's toolkit for evaluating RAG systems using generated questions.,Document 5: RAGET is Giskard's toolkit for evaluating RAG systems using generated questions.,[],"{'question_type': 'simple', 'seed_document_id': 5, 'topic': 'Others'}",I do not know.,False,"The agent stated that it does not know what RAGET is, but should have provided the definition: RAGET is Giskard's toolkit for evaluating RAG systems using generated questions."
Where was Giskard founded?,Giskard was founded in France.,Document 2: Giskard was founded in France by ex-Dataiku employees.,[],"{'question_type': 'simple', 'seed_document_id': 2, 'topic': 'Others'}",Giskard was founded in France.,True,
What is Giskard Hub?,Giskard Hub offers a comprehensive suite of tools for testing and evaluating LLMs.,"Document 0: Giskard is a great tool for testing and evaluating LLMs.

Document 1: Giskard Hub offers a comprehensive suite of tools for testing and evaluating LLMs.",[],"{'question_type': 'simple', 'seed_document_id': 0, 'topic': 'Others'}",Giskard Hub is a comprehensive suite of tools for testing and evaluating LLMs.,True,
What tool can be used to automatically generate tests for LLM agents?,Giskard,Document 4: You can use Giskard to automatically generate tests for LLM agents.,[],"{'question_type': 'simple', 'seed_document_id': 4, 'topic': 'Others'}",Giskard Hub offers a comprehensive suite of tools for testing and evaluating LLMs.,False,The agent provided a description of Giskard Hub's capabilities but did not directly answer the question by naming the tool. The correct answer is simply 'Giskard'.
What does Giskard Hub offer?,Giskard Hub offers a comprehensive suite of tools for testing and evaluating LLMs.,"Document 1: Giskard Hub offers a comprehensive suite of tools for testing and evaluating LLMs.

Document 0: Giskard is a great tool for testing and evaluating LLMs.",[],"{'question_type': 'simple', 'seed_document_id': 1, 'topic': 'Others'}",Giskard Hub offers a comprehensive suite of tools for testing and evaluating LLMs.,True,
Which LLM providers does Giskard integrate with?,Giskard integrates with popular LLM providers via LiteLLM.,Document 6: Giskard integrates with popular LLM providers via LiteLLM.,[],"{'question_type': 'simple', 'seed_document_id': 6, 'topic': 'Others'}",The provided context does not specify which LLM providers Giskard integrates with.,False,"The agent stated that the context does not specify which LLM providers Giskard integrates with, but the reference answer indicates that Giskard integrates with popular LLM providers via LiteLLM."
What is the primary function of Giskard?,Giskard helps data teams evaluate and monitor AI applications in production.,Document 3: Giskard helps data teams evaluate and monitor AI applications in production.,[],"{'question_type': 'simple', 'seed_document_id': 3, 'topic': 'Others'}",The primary function of Giskard is testing and evaluating LLMs.,False,"The agent stated that the primary function of Giskard is testing and evaluating LLMs, but should have said that it helps data teams evaluate and monitor AI applications in production."
"In which country was Giskard, the company founded by former Dataiku employees, established?",Giskard was founded in France.,Document 2: Giskard was founded in France by ex-Dataiku employees.,[],"{'question_type': 'complex', 'seed_document_id': 2, 'topic': 'Others'}",Giskard was established in France.,True,
